"id","n","label","parent"
"total -  Animation  -  Jamaica","74","Jamaica","total -  Animation"
"total -  Comedy  -  Jamaica","173","Jamaica","total -  Comedy"
"total -  Crime  -  Jamaica","145","Jamaica","total -  Crime"
"total -  Drama  -  Jamaica","304","Jamaica","total -  Drama"
"total -  Family  -  Jamaica","37","Jamaica","total -  Family"
"total -  Fantasy  -  Jamaica","40","Jamaica","total -  Fantasy"
"total -  Romance  -  Jamaica","81","Jamaica","total -  Romance"
"total -  Thriller  -  Jamaica","91","Jamaica","total -  Thriller"
"total -  Action  -  Japan","230","Japan","total -  Action"
"total -  Adventure  -  Japan","158","Japan","total -  Adventure"
"total -  Animation  -  Japan","92","Japan","total -  Animation"
"total -  Comedy  -  Japan","170","Japan","total -  Comedy"
"total -  Crime  -  Japan","88","Japan","total -  Crime"
"total -  Drama  -  Japan","284","Japan","total -  Drama"
"total -  Mystery  -  Japan","41","Japan","total -  Mystery"
"total -  Romance  -  Japan","170","Japan","total -  Romance"
"total -  Sci Fi  -  Japan","33","Japan","total -  Sci Fi"
"total -  Thriller  -  Japan","61","Japan","total -  Thriller"
"total -  Action  -  Jordan","194","Jordan","total -  Action"
"total -  Adventure  -  Jordan","99","Jordan","total -  Adventure"
"total -  Comedy  -  Jordan","154","Jordan","total -  Comedy"
"total -  Crime  -  Jordan","124","Jordan","total -  Crime"
"total -  Drama  -  Jordan","369","Jordan","total -  Drama"
"total -  Fantasy  -  Jordan","32","Jordan","total -  Fantasy"
"total -  Mystery  -  Jordan","37","Jordan","total -  Mystery"
"total -  Romance  -  Jordan","156","Jordan","total -  Romance"
"total -  Sci Fi  -  Jordan","31","Jordan","total -  Sci Fi"
"total -  Thriller  -  Jordan","69","Jordan","total -  Thriller"
"total -  Action  -  Kenya","196","Kenya","total -  Action"
"total -  Adventure  -  Kenya","90","Kenya","total -  Adventure"
"total -  Comedy  -  Kenya","181","Kenya","total -  Comedy"
"total -  Crime  -  Kenya","139","Kenya","total -  Crime"
"total -  Drama  -  Kenya","330","Kenya","total -  Drama"
"total -  Fantasy  -  Kenya","33","Kenya","total -  Fantasy"
"total -  Mystery  -  Kenya","52","Kenya","total -  Mystery"
"total -  Romance  -  Kenya","104","Kenya","total -  Romance"
"total -  Sci Fi  -  Kenya","39","Kenya","total -  Sci Fi"
"total -  Thriller  -  Kenya","76","Kenya","total -  Thriller"
"total -  Action  -  Kuwait","212","Kuwait","total -  Action"
"total -  Adventure  -  Kuwait","132","Kuwait","total -  Adventure"
"total -  Animation  -  Kuwait","53","Kuwait","total -  Animation"
"total -  Comedy  -  Kuwait","165","Kuwait","total -  Comedy"
"total -  Crime  -  Kuwait","123","Kuwait","total -  Crime"
"total -  Drama  -  Kuwait","310","Kuwait","total -  Drama"
"total -  Fantasy  -  Kuwait","41","Kuwait","total -  Fantasy"
"total -  Mystery  -  Kuwait","48","Kuwait","total -  Mystery"
"total -  Romance  -  Kuwait","73","Kuwait","total -  Romance"
"total -  Thriller  -  Kuwait","85","Kuwait","total -  Thriller"
"total -  Action  -  Latvia","168","Latvia","total -  Action"
